timestamp,weight,weight_status,weight_status_score,is_stable,wagon_event,wagon_event_conf,wagon_event_secondary,wagon_event_conf_secondary,ocr_detection_side1,ocr_detection_side2,rake_direction
2026-03-14 15:30:35,0,weighing_in,0.929,FALSE,single_wagon,0.9658700824,single_wagon,0.9988387227,,,inwards
2026-03-14 15:30:35,0,weighing_in,0.929,FALSE,single_wagon,0.9739234447,single_wagon,0.9918129444,,,inwards
2026-03-14 15:30:35,0,weighing_in,0.928,FALSE,single_wagon,0.9737692475,single_wagon,0.9918129444,,,inwards
2026-03-14 15:30:35,0,weighing---,0.883,FALSE,single_wagon,0.9737692475,single_wagon,0.999153614,,,inwards
2026-03-14 15:30:35,0,weighing---,0.883,FALSE,single_wagon,0.9808076024,single_wagon,0.9997704625,,,inwards
2026-03-14 15:30:35,0,weighing---,0.882,FALSE,single_wagon,0.9808076024,single_wagon,0.9997704625,,,inwards
2026-03-14 15:30:35,0,weighing---,0.882,FALSE,single_wagon,0.9715360999,single_wagon,0.9998186231,,,inwards
2026-03-14 15:30:35,0,weighing---,0.891,FALSE,single_wagon,0.9715360999,single_wagon,0.9998186231,,,inwards
2026-03-14 15:30:35,0,weighing---,0.891,FALSE,single_wagon,0.8588097692,single_wagon,0.9999966621,,,inwards
2026-03-14 15:30:35,0,weighing_over,0.932,FALSE,single_wagon,0.8588097692,single_wagon,0.9999982119,,,inwards
2026-03-14 15:30:35,0,weighing_over,0.908,FALSE,single_wagon,0.9924928546,single_wagon,0.9999982119,,,inwards
2026-03-14 15:30:35,0,weighing_over,0.908,FALSE,single_wagon,0.9924928546,single_wagon,0.9999984503,,,inwards
2026-03-14 15:30:36,0,weighing_over,0.908,FALSE,single_wagon,0.9976691604,single_wagon,0.9999984503,,,inwards
2026-03-14 15:30:36,0,others,0.919,FALSE,single_wagon,0.9984403253,single_wagon,0.9999984503,,,inwards
2026-03-14 15:30:36,0,others,0.918,FALSE,single_wagon,0.9984403253,single_wagon,0.9999986887,,,inwards
2026-03-14 15:30:36,0,others,0.918,FALSE,single_wagon,0.9979645014,single_wagon,0.9999929667,,,inwards
2026-03-14 15:30:36,0,others,0.916,FALSE,single_wagon,0.9979645014,single_wagon,0.9999929667,,,inwards
2026-03-14 15:30:36,0,others,0.916,FALSE,single_wagon,0.9980412722,single_wagon,0.9999952316,,,inwards
2026-03-14 15:30:36,0,others,0.919,FALSE,single_wagon,0.9980412722,single_wagon,0.9999952316,,,inwards
2026-03-14 15:30:36,0,others,0.919,FALSE,single_wagon,0.9899815917,single_wagon,0.99999547,,,inwards
2026-03-14 15:30:36,0,others,0.919,FALSE,single_wagon,0.9899815917,single_wagon,0.99999547,,,inwards
2026-03-14 15:30:36,0,others,0.925,FALSE,single_wagon,0.9919811487,single_wagon,0.9999945164,,,inwards
2026-03-14 15:30:36,0,others,0.925,FALSE,single_wagon,0.9919811487,single_wagon,0.9999955893,,,inwards
2026-03-14 15:30:36,0,others,0.925,FALSE,single_wagon,0.9925231338,single_wagon,0.9999955893,,,inwards
2026-03-14 15:30:36,0,others,0.926,FALSE,single_wagon,0.9927129149,single_wagon,0.9999969006,,,inwards
2026-03-14 15:30:36,0,others,0.758,FALSE,single_wagon,0.9927129149,single_wagon,0.9999969006,,,inwards
2026-03-14 15:30:36,0,others,0.758,FALSE,single_wagon,0.9961630106,single_wagon,0.9999960661,,,inwards
2026-03-14 15:30:36,0,weighing---,0.739,FALSE,single_wagon,0.9991938472,single_wagon,0.9999966621,,,inwards
